name,doctype,naming_series,stock_entry_type,purpose,add_to_transit,company,posting_date,posting_time,set_posting_time,from_warehouse,to_warehouse,total_outgoing_value,total_incoming_value,value_difference,total_additional_costs,docstatus,items,total_amount
MAT-STE-1D6F1ACC,Stock Entry,MAT-STE-.YYYY.-,Material Transfer,Material Transfer,1,Velo GmbH,2024-01-26,02:55:58,0,Lager Stuttgart - B,Den Haag,1764.11,1764.11,0.0,0.0,1,"[{'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Den Haag', 'item_code': 'COMP-0035', 'item_name': 'Reifen Gravel 29""', 'description': 'Reifen Gravel 29"": Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 3, 'transfer_qty': 3, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 140.49, 'valuation_rate': 140.49, 'basic_amount': 421.47, 'amount': 421.47, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Den Haag', 'item_code': 'COMP-0032', 'item_name': 'Controller Standard', 'description': 'Controller Standard: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 2, 'transfer_qty': 2, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 155.15, 'valuation_rate': 155.15, 'basic_amount': 310.3, 'amount': 310.3, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Den Haag', 'item_code': 'COMP-0040', 'item_name': 'Vorbau Standardvorbau', 'description': 'Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 4, 'transfer_qty': 4, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 127.27, 'valuation_rate': 127.27, 'basic_amount': 509.08, 'amount': 509.08, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Den Haag', 'item_code': 'COMP-0002', 'item_name': 'Reifen Straße 28""', 'description': 'Reifen Straße 28"": Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 3, 'transfer_qty': 3, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 174.42, 'valuation_rate': 174.42, 'basic_amount': 523.26, 'amount': 523.26, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}]",1764.11
MAT-STE-B909FB7E,Stock Entry,MAT-STE-.YYYY.-,Material Transfer,Material Transfer,1,Velo GmbH,2024-11-02,02:55:58,0,Lager Stuttgart - B,Lager Paris,1323.63,1323.63,0.0,0.0,1,"[{'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Paris', 'item_code': 'COMP-0045', 'item_name': 'Griffe Standard', 'description': 'Griffe Standard: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 9, 'transfer_qty': 9, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 147.07, 'valuation_rate': 147.07, 'basic_amount': 1323.63, 'amount': 1323.63, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}]",1323.63
MAT-STE-37D57291,Stock Entry,MAT-STE-.YYYY.-,Material Transfer,Material Transfer,1,Velo GmbH,2024-10-02,02:55:59,0,Lager Stuttgart - B,Lager Berlin,1892.1400000000003,1892.1400000000003,0.0,0.0,1,"[{'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Berlin', 'item_code': 'COMP-0034', 'item_name': 'Griffe Standard', 'description': 'Griffe Standard: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 7, 'transfer_qty': 7, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 86.02, 'valuation_rate': 86.02, 'basic_amount': 602.14, 'amount': 602.14, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Berlin', 'item_code': 'COMP-0008', 'item_name': 'Motor Nabenmotor Vorderrad', 'description': 'Motor Nabenmotor Vorderrad: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 3, 'transfer_qty': 3, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 186.9, 'valuation_rate': 186.9, 'basic_amount': 560.7, 'amount': 560.7, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Berlin', 'item_code': 'COMP-0027', 'item_name': 'Vorbau Standardvorbau', 'description': 'Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 2, 'transfer_qty': 2, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 193.95, 'valuation_rate': 193.95, 'basic_amount': 387.9, 'amount': 387.9, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Berlin', 'item_code': 'COMP-0018', 'item_name': 'Vorbau Standardvorbau', 'description': 'Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 5, 'transfer_qty': 5, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 68.28, 'valuation_rate': 68.28, 'basic_amount': 341.4, 'amount': 341.4, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}]",1892.1400000000003
MAT-STE-9F37E82C,Stock Entry,MAT-STE-.YYYY.-,Material Transfer,Material Transfer,1,Velo GmbH,2024-08-20,02:55:59,0,Lager Stuttgart - B,Lager Madrid,1337.56,1337.56,0.0,0.0,1,"[{'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Madrid', 'item_code': 'COMP-0038', 'item_name': 'Lenker Riserbar', 'description': 'Erhöhter Lenker für entspannte Haltung und gute Übersicht.', 'item_group': 'Fahrradkomponenten', 'qty': 3, 'transfer_qty': 3, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 87.16, 'valuation_rate': 87.16, 'basic_amount': 261.48, 'amount': 261.48, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Madrid', 'item_code': 'COMP-0045', 'item_name': 'Griffe Standard', 'description': 'Griffe Standard: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 5, 'transfer_qty': 5, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 147.07, 'valuation_rate': 147.07, 'basic_amount': 735.35, 'amount': 735.35, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Madrid', 'item_code': 'BIKE-0002', 'item_name': 'Velo City 442', 'description': 'Perfekt für den urbanen Alltag. Komfortabel und wendig für Fahrten in der Stadt.', 'item_group': 'Fahrräder', 'qty': 1, 'transfer_qty': 1, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 340.73, 'valuation_rate': 340.73, 'basic_amount': 340.73, 'amount': 340.73, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}]",1337.56
MAT-STE-F570FCF4,Stock Entry,MAT-STE-.YYYY.-,Material Transfer,Material Transfer,1,Velo GmbH,2024-07-07,02:55:59,0,Lager Stuttgart - B,Lager München,2058.42,2058.42,0.0,0.0,1,"[{'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager München', 'item_code': 'COMP-0035', 'item_name': 'Reifen Gravel 29""', 'description': 'Reifen Gravel 29"": Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 8, 'transfer_qty': 8, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 140.49, 'valuation_rate': 140.49, 'basic_amount': 1123.92, 'amount': 1123.92, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager München', 'item_code': 'COMP-0008', 'item_name': 'Motor Nabenmotor Vorderrad', 'description': 'Motor Nabenmotor Vorderrad: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 5, 'transfer_qty': 5, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 186.9, 'valuation_rate': 186.9, 'basic_amount': 934.5, 'amount': 934.5, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}]",2058.42
MAT-STE-E754F148,Stock Entry,MAT-STE-.YYYY.-,Material Transfer,Material Transfer,1,Velo GmbH,2024-05-20,02:55:59,0,Lager Stuttgart - B,Lager Frankfurt,1119.02,1119.02,0.0,0.0,1,"[{'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Frankfurt', 'item_code': 'COMP-0048', 'item_name': 'Steuersatz Semi-integriert', 'description': 'Steuersatz Semi-integriert: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 2, 'transfer_qty': 2, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 24.18, 'valuation_rate': 24.18, 'basic_amount': 48.36, 'amount': 48.36, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Frankfurt', 'item_code': 'COMP-0003', 'item_name': 'Controller Leistungsstark', 'description': 'Controller Leistungsstark: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 10, 'transfer_qty': 10, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 45.47, 'valuation_rate': 45.47, 'basic_amount': 454.7, 'amount': 454.7, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Frankfurt', 'item_code': 'COMP-0017', 'item_name': 'Kurbel 3-fach', 'description': 'Kurbel 3-fach: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 9, 'transfer_qty': 9, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 68.44, 'valuation_rate': 68.44, 'basic_amount': 615.96, 'amount': 615.96, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}]",1119.02
MAT-STE-96880F1B,Stock Entry,MAT-STE-.YYYY.-,Material Transfer,Material Transfer,1,Velo GmbH,2024-07-17,02:56:00,0,Lager Stuttgart - B,Lager Paris,1276.29,1276.29,0.0,0.0,1,"[{'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Paris', 'item_code': 'COMP-0018', 'item_name': 'Vorbau Standardvorbau', 'description': 'Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 3, 'transfer_qty': 3, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 68.28, 'valuation_rate': 68.28, 'basic_amount': 204.84, 'amount': 204.84, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Paris', 'item_code': 'COMP-0033', 'item_name': 'Controller Leistungsstark', 'description': 'Controller Leistungsstark: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 2, 'transfer_qty': 2, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 34.86, 'valuation_rate': 34.86, 'basic_amount': 69.72, 'amount': 69.72, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Paris', 'item_code': 'COMP-0004', 'item_name': 'Laufräder 28 Zoll', 'description': 'Laufräder 28 Zoll: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 3, 'transfer_qty': 3, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 75.85, 'valuation_rate': 75.85, 'basic_amount': 227.55, 'amount': 227.55, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Paris', 'item_code': 'COMP-0034', 'item_name': 'Griffe Standard', 'description': 'Griffe Standard: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 9, 'transfer_qty': 9, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 86.02, 'valuation_rate': 86.02, 'basic_amount': 774.18, 'amount': 774.18, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}]",1276.29
MAT-STE-CAC2B4E7,Stock Entry,MAT-STE-.YYYY.-,Material Transfer,Material Transfer,1,Velo GmbH,2024-02-09,02:56:00,0,Lager Stuttgart - B,Lager Lyon,860.86,860.86,0.0,0.0,1,"[{'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Lyon', 'item_code': 'COMP-0036', 'item_name': 'Kurbel 3-fach', 'description': 'Kurbel 3-fach: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 7, 'transfer_qty': 7, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 122.98, 'valuation_rate': 122.98, 'basic_amount': 860.86, 'amount': 860.86, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}]",860.86
MAT-STE-E0157879,Stock Entry,MAT-STE-.YYYY.-,Material Transfer,Material Transfer,1,Velo GmbH,2024-06-10,02:56:00,0,Lager Stuttgart - B,Den Haag,1236.24,1236.24,0.0,0.0,1,"[{'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Den Haag', 'item_code': 'COMP-0048', 'item_name': 'Steuersatz Semi-integriert', 'description': 'Steuersatz Semi-integriert: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 3, 'transfer_qty': 3, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 24.18, 'valuation_rate': 24.18, 'basic_amount': 72.54, 'amount': 72.54, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Den Haag', 'item_code': 'COMP-0027', 'item_name': 'Vorbau Standardvorbau', 'description': 'Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 6, 'transfer_qty': 6, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 193.95, 'valuation_rate': 193.95, 'basic_amount': 1163.7, 'amount': 1163.7, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}]",1236.24
MAT-STE-C03D02AB,Stock Entry,MAT-STE-.YYYY.-,Material Transfer,Material Transfer,1,Velo GmbH,2024-06-07,02:56:00,0,Lager Stuttgart - B,Lager Faro,2682.64,2682.64,0.0,0.0,1,"[{'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Faro', 'item_code': 'COMP-0017', 'item_name': 'Kurbel 3-fach', 'description': 'Kurbel 3-fach: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 2, 'transfer_qty': 2, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 68.44, 'valuation_rate': 68.44, 'basic_amount': 136.88, 'amount': 136.88, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Faro', 'item_code': 'COMP-0041', 'item_name': 'Controller Standard', 'description': 'Controller Standard: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 4, 'transfer_qty': 4, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 198.86, 'valuation_rate': 198.86, 'basic_amount': 795.44, 'amount': 795.44, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Faro', 'item_code': 'COMP-0001', 'item_name': 'Lenker Flatbar', 'description': 'Gerader Lenker für aufrechte Sitzposition und gute Kontrolle.', 'item_group': 'Fahrradkomponenten', 'qty': 10, 'transfer_qty': 10, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 82.28, 'valuation_rate': 82.28, 'basic_amount': 822.8, 'amount': 822.8, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Faro', 'item_code': 'COMP-0034', 'item_name': 'Griffe Standard', 'description': 'Griffe Standard: Hochwertige Komponente für optimale Leistung.', 'item_group': 'Fahrradkomponenten', 'qty': 6, 'transfer_qty': 6, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 86.02, 'valuation_rate': 86.02, 'basic_amount': 516.12, 'amount': 516.12, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}, {'doctype': 'Stock Entry Detail', 's_warehouse': 'Lager Stuttgart - B', 't_warehouse': 'Lager Faro', 'item_code': 'COMP-0001', 'item_name': 'Lenker Flatbar', 'description': 'Gerader Lenker für aufrechte Sitzposition und gute Kontrolle.', 'item_group': 'Fahrradkomponenten', 'qty': 5, 'transfer_qty': 5, 'uom': 'Nos', 'stock_uom': 'Nos', 'conversion_factor': 1.0, 'basic_rate': 82.28, 'valuation_rate': 82.28, 'basic_amount': 411.4, 'amount': 411.4, 'expense_account': '5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B', 'cost_center': 'Main - B'}]",2682.64
