ID,Company,Currency,Date,Exchange Rate,Series,Status,Supplier,Title,ID (Items),Amount (Items),Item Code (Items),Item Name (Items),Quantity (Items),Rate (Items),Required By (Items),Stock UOM (Items),UOM (Items),UOM Conversion Factor (Items),Set Target Warehouse
PUR-ORD-2023-50502,Velo GmbH,EUR,2023-12-30,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8781,Purchase Order for SUP-8781,POITEM-2023-25850,459.69,COMP-0047,Lenker Riserbar,3,153.23,2024-01-06,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-01649,Velo GmbH,EUR,2023-07-11,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-7042,Purchase Order for SUP-7042,POITEM-2023-55218,8229.76,COMP-0022,Sattelstütze Teleskop,88,93.52,2023-07-18,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-68223,Velo GmbH,EUR,2023-01-29,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3829,Purchase Order for SUP-3829,POITEM-2023-59515,11677.6,COMP-0024,"Reifen Straße 28""",80,145.97,2023-02-05,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-74378,Velo GmbH,EUR,2023-11-20,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3249,Purchase Order for SUP-3249,POITEM-2023-33794,14190.92,COMP-0012,Steuersatz Integriert,82,173.06,2023-11-27,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-09005,Velo GmbH,EUR,2023-05-09,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3599,Purchase Order for SUP-3599,POITEM-2023-82716,6486.6,COMP-0018,Vorbau Standardvorbau,95,68.28,2023-05-16,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-37211,Velo GmbH,EUR,2023-08-09,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-4365,Purchase Order for SUP-4365,POITEM-2023-62593,8546.58,COMP-0002,"Reifen Straße 28""",49,174.42,2023-08-16,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-36398,Velo GmbH,EUR,2023-03-23,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-7331,Purchase Order for SUP-7331,POITEM-2023-92566,13641.9,COMP-0037,Schaltung 2x11 Rennrad,74,184.35,2023-03-30,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-90304,Velo GmbH,EUR,2023-09-24,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1186,Purchase Order for SUP-1186,POITEM-2023-95505,2965.2,COMP-0020,Sattel Gel,35,84.72,2023-10-01,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-24690,Velo GmbH,EUR,2023-03-01,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-5728,Purchase Order for SUP-5728,POITEM-2023-29849,11560.32,COMP-0009,Griffe Standard,81,142.72,2023-03-08,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-04782,Velo GmbH,EUR,2023-02-08,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3188,Purchase Order for SUP-3188,POITEM-2023-82032,4666.16,COMP-0050,Controller Standard,68,68.62,2023-02-15,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-61001,Velo GmbH,EUR,2023-03-07,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8134,Purchase Order for SUP-8134,POITEM-2023-32403,7237.95,COMP-0011,Akku Zusatzakku,73,99.15,2023-03-14,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-51350,Velo GmbH,EUR,2023-10-30,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-5273,Purchase Order for SUP-5273,POITEM-2023-39623,13269.9,COMP-0008,Motor Nabenmotor Vorderrad,71,186.9,2023-11-06,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-74549,Velo GmbH,EUR,2023-07-22,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1942,Purchase Order for SUP-1942,POITEM-2023-16440,1328.16,COMP-0026,Schaltung 7-Gang,48,27.67,2023-07-29,Nos,Nos,"1,00",Lager Stuttgart - B
