BOM No,Company,Item To Manufacture,Planned Start Date,Qty To Manufacture,Series,Status,Has Batch No,Has Serial No,Work-in-Progress Warehouse,Source Warehouse,Target Warehouse,docstatus,ID,Actual Qty
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-02-07 10:04:25,5,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00005,5.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-12-30 01:38:49,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00006,6.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-08-19 22:11:11,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00007,7.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-06-27 11:33:52,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00008,6.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-12-18 11:20:51,8,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00009,8.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-08-15 11:01:54,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00010,6.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-05-06 21:27:59,3,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00011,3.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-07-18 21:23:10,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00012,1.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-09-26 19:24:20,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00013,9.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-02-11 12:00:48,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00014,9.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-12-12 23:02:14,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00015,6.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-06-08 02:11:45,4,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00016,4.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-03-05 14:29:44,4,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00017,4.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-08-10 16:09:16,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00018,7.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-10-03 12:35:17,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00019,9.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-09-06 12:43:47,2,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00020,2.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-06-25 22:49:58,10,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00021,10.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-06-12 03:17:09,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00022,6.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-01-27 04:10:11,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00023,9.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-01-31 16:26:03,8,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00024,8.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-11-11 06:13:21,10,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00025,10.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-10-07 12:29:26,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00026,9.0
