ID;Company;Conversion Rate;Currency;Item;Quantity;Default Source Warehouse;Default Target Warehouse;Item Description;Item Name;Item Code (Items);Qty (Items);Rate (Items);UOM (Items)
BOM-EBIKE-0001-001;Velo GmbH;1.0;EUR;EBIKE-0001;1.0;Lager Stuttgart - B;Lager Stuttgart - B;E-Bike: Vielseitig einsetzbar für lange Touren und Alltagsfahrten. Robust und bequem. Mit leistungsstarkem Elektromotor für mühelose Fahrten.;Velo E-Trekking 576;;;;
;;;;;;;;;;COMP-0001;1.0;82.28;Nos
;;;;;;;;;;COMP-0025;1.0;149.38;Nos
;;;;;;;;;;COMP-0024;1.0;145.97;Nos
;;;;;;;;;;COMP-0005;1.0;162.2;Nos
;;;;;;;;;;COMP-0014;1.0;192.67;Nos
;;;;;;;;;;COMP-0015;1.0;172.88;Nos
;;;;;;;;;;COMP-0004;1.0;75.85;Nos
;;;;;;;;;;COMP-0010;1.0;182.46;Nos
;;;;;;;;;;COMP-0045;1.0;147.07;Nos
;;;;;;;;;;COMP-0048;1.0;24.18;Nos
;;;;;;;;;;COMP-0040;1.0;127.27;Nos
;;;;;;;;;;COMP-0039;1.0;54.74;Nos
;;;;;;;;;;COMP-0011;1.0;99.15;Nos
;;;;;;;;;;COMP-0028;1.0;57.11;Nos
;;;;;;;;;;COMP-0006;1.0;135.95;Nos
;;;;;;;;;;COMP-0003;1.0;45.47;Nos
BOM-BIKE-0002-001;Velo GmbH;1.0;EUR;BIKE-0002;1.0;Lager Stuttgart - B;Lager Stuttgart - B;Perfekt für den urbanen Alltag. Komfortabel und wendig für Fahrten in der Stadt.;Velo City 442;;;;
;;;;;;;;;;COMP-0029;1.0;99.0;Nos
;;;;;;;;;;COMP-0023;1.0;112.31;Nos
;;;;;;;;;;COMP-0024;1.0;145.97;Nos
;;;;;;;;;;COMP-0037;1.0;184.35;Nos
;;;;;;;;;;COMP-0014;1.0;192.67;Nos
;;;;;;;;;;COMP-0015;1.0;172.88;Nos
;;;;;;;;;;COMP-0004;1.0;75.85;Nos
;;;;;;;;;;COMP-0010;1.0;182.46;Nos
;;;;;;;;;;COMP-0045;1.0;147.07;Nos
;;;;;;;;;;COMP-0048;1.0;24.18;Nos
;;;;;;;;;;COMP-0016;1.0;120.32;Nos
;;;;;;;;;;COMP-0043;1.0;63.76;Nos
