"ID","Company","Warehouse Name"
"Lager Frankreich - B","Velo GmbH","Lager Frankreich"
"Lager Lyon - B","Velo GmbH","Lager Lyon"
"Lager Paris - B","Velo GmbH","Lager Paris"
"Lager Deutschland - B","Velo GmbH","Lager Deutschland"
"Lager Berlin - B","Velo GmbH","Lager Berlin"
"Lager Frankfurt - B","Velo GmbH","Lager Frankfurt"
"Lager München - B","Velo GmbH","Lager München"
"Lager Stuttgart - B","Velo GmbH","Lager Stuttgart (Hauptlager)"
"Lager Spanien - B","Velo GmbH","Lager Spanien"
"Lager Madrid - B","Velo GmbH","Lager Madrid"
"Lager Portugal - B","Velo GmbH","Lager Portugal"
"Lager Faro - B","Velo GmbH","Lager Faro"
"Lager Lissabon - B","Velo GmbH","Lager Lissabon"
"Lager Niederlande - B","Velo GmbH","Lager Niederlande"
"Lager Amsterdam - B","Velo GmbH","Lager Amsterdam"
"Den Haag - B","Velo GmbH","Den Haag"
