Batch ID,Item
BATCH-BRE-20240216-9100,COMP-0001
BATCH-LAU-20240603-3386,COMP-0002
BATCH-GRI-20240604-582,COMP-0003
BATCH-MOT-20240821-3418,COMP-0004
BATCH-RAH-20240108-7645,COMP-0005
BATCH-PED-20240622-7846,COMP-0006
BATCH-VOR-20240721-3197,COMP-0007
BATCH-GAB-20240217-736,COMP-0008
BATCH-RAH-20240920-9787,COMP-0009
BATCH-GRI-20240417-7087,COMP-0010
BATCH-PED-20240716-7462,COMP-0011
BATCH-KET-20240722-9058,COMP-0012
BATCH-SAT-20240117-9685,COMP-0013
BATCH-VOR-20240416-2941,COMP-0014
BATCH-VOR-20240208-1496,COMP-0015
BATCH-STE-20240906-6581,COMP-0016
BATCH-VOR-20240612-9809,COMP-0017
BATCH-LAU-20240730-5228,COMP-0018
BATCH-STE-20240108-9433,COMP-0019
BATCH-DIS-20240724-8284,COMP-0020
BATCH-LEN-20240818-6483,COMP-0021
BATCH-RAH-20240529-2464,COMP-0022
BATCH-KET-20240221-2901,COMP-0023
BATCH-BRE-20240608-5254,COMP-0024
BATCH-AKK-20240123-6552,COMP-0025
BATCH-SAT-20240615-3193,COMP-0026
BATCH-KUR-20240606-5622,COMP-0027
BATCH-CON-20240131-7020,COMP-0028
BATCH-REI-20240920-735,COMP-0029
BATCH-AKK-20240920-6401,COMP-0030
BATCH-BRE-20240628-146,COMP-0031
BATCH-GAB-20240709-4447,COMP-0032
BATCH-GAB-20241004-4253,COMP-0033
BATCH-REI-20240327-3486,COMP-0034
BATCH-KUR-20240102-3605,COMP-0035
BATCH-SAT-20240604-8273,COMP-0036
BATCH-STE-20241002-2156,COMP-0037
BATCH-LAU-20241006-1314,COMP-0038
BATCH-GAB-20240814-6920,COMP-0039
BATCH-LEN-20240717-6842,COMP-0040
BATCH-PED-20240716-6377,COMP-0041
BATCH-KUR-20240927-6228,COMP-0042
BATCH-CON-20240112-5214,COMP-0043
BATCH-SAT-20240922-3874,COMP-0044
BATCH-SAT-20240920-7973,COMP-0045
BATCH-DIS-20240828-1446,COMP-0046
BATCH-KUR-20240805-3314,COMP-0047
BATCH-RAH-20240304-3845,COMP-0048
BATCH-RAH-20240120-3933,COMP-0049
BATCH-GRI-20240526-1297,COMP-0050
