Item Code,Item Name,Item Group,Default Unit of Measure,Is Stock Item,Valuation Rate,Standard Selling Rate,Description
BIKE-0001,Fahrrad Modell 1,Fahrräder,Nos,1,336.81,1144.13,Fahrrad Modell 1 Beschreibung
BIKE-0002,Fahrrad Modell 2,Fahrräder,Nos,1,589.36,989.37,Fahrrad Modell 2 Beschreibung
BIKE-0003,Fahrrad Modell 3,Fahrräder,Nos,1,591.16,1203.1,Fahrrad Modell 3 Beschreibung
BIKE-0004,Fahrrad Modell 4,Fahrräder,Nos,1,367.47,1208.24,Fahrrad Modell 4 Beschreibung
BIKE-0005,Fahrrad Modell 5,Fahrräder,Nos,1,558.43,1265.92,Fahrrad Modell 5 Beschreibung
EBIKE-0001,E-Bike Modell 1,E-Bikes,Nos,1,629.11,1774.58,E-Bike Modell 1 Beschreibung
EBIKE-0002,E-Bike Modell 2,E-Bikes,Nos,1,579.06,1664.49,E-Bike Modell 2 Beschreibung
EBIKE-0003,E-Bike Modell 3,E-Bikes,Nos,1,519.17,1291.47,E-Bike Modell 3 Beschreibung
EBIKE-0004,E-Bike Modell 4,E-Bikes,Nos,1,361.67,1170.87,E-Bike Modell 4 Beschreibung
EBIKE-0005,E-Bike Modell 5,E-Bikes,Nos,1,505.87,1224.1,E-Bike Modell 5 Beschreibung
COMP-0001,Bremsen Typ 1,Fahrradkomponenten,Nos,1,47.76,302.57,Bremsen Typ 1 Beschreibung
COMP-0002,Lenker Typ 2,Fahrradkomponenten,Nos,1,114.25,229.38,Lenker Typ 2 Beschreibung
COMP-0003,Laufrad Typ 3,Fahrradkomponenten,Nos,1,100.76,150.02,Laufrad Typ 3 Beschreibung
COMP-0004,Reifen Typ 4,Fahrradkomponenten,Nos,1,48.04,390.71,Reifen Typ 4 Beschreibung
COMP-0005,Lenker Typ 5,Fahrradkomponenten,Nos,1,11.17,300.46,Lenker Typ 5 Beschreibung
COMP-0006,Laufrad Typ 6,Fahrradkomponenten,Nos,1,44.11,94.01,Laufrad Typ 6 Beschreibung
COMP-0007,Laufrad Typ 7,Fahrradkomponenten,Nos,1,199.72,289.03,Laufrad Typ 7 Beschreibung
COMP-0008,Kette Typ 8,Fahrradkomponenten,Nos,1,147.29,303.82,Kette Typ 8 Beschreibung
COMP-0009,Pedale Typ 9,Fahrradkomponenten,Nos,1,122.61,353.56,Pedale Typ 9 Beschreibung
COMP-0010,Laufrad Typ 10,Fahrradkomponenten,Nos,1,132.72,88.81,Laufrad Typ 10 Beschreibung
COMP-0011,Bremsen Typ 11,Fahrradkomponenten,Nos,1,176.48,98.78,Bremsen Typ 11 Beschreibung
COMP-0012,Pedale Typ 12,Fahrradkomponenten,Nos,1,149.34,21.67,Pedale Typ 12 Beschreibung
COMP-0013,Bremsen Typ 13,Fahrradkomponenten,Nos,1,107.42,299.49,Bremsen Typ 13 Beschreibung
COMP-0014,Schaltung Typ 14,Fahrradkomponenten,Nos,1,20.64,350.19,Schaltung Typ 14 Beschreibung
COMP-0015,Reifen Typ 15,Fahrradkomponenten,Nos,1,35.4,165.07,Reifen Typ 15 Beschreibung
COMP-0016,Laufrad Typ 16,Fahrradkomponenten,Nos,1,141.12,246.1,Laufrad Typ 16 Beschreibung
COMP-0017,Lenker Typ 17,Fahrradkomponenten,Nos,1,184.79,370.16,Lenker Typ 17 Beschreibung
COMP-0018,Schaltung Typ 18,Fahrradkomponenten,Nos,1,72.88,40.02,Schaltung Typ 18 Beschreibung
COMP-0019,Sattel Typ 19,Fahrradkomponenten,Nos,1,33.3,196.7,Sattel Typ 19 Beschreibung
COMP-0020,Bremsen Typ 20,Fahrradkomponenten,Nos,1,54.13,174.28,Bremsen Typ 20 Beschreibung
COMP-0021,Gabel Typ 21,Fahrradkomponenten,Nos,1,89.55,45.62,Gabel Typ 21 Beschreibung
COMP-0022,Rahmen Typ 22,Fahrradkomponenten,Nos,1,124.59,223.84,Rahmen Typ 22 Beschreibung
COMP-0023,Schaltung Typ 23,Fahrradkomponenten,Nos,1,141.01,130.15,Schaltung Typ 23 Beschreibung
COMP-0024,Lenker Typ 24,Fahrradkomponenten,Nos,1,151.03,261.29,Lenker Typ 24 Beschreibung
COMP-0025,Reifen Typ 25,Fahrradkomponenten,Nos,1,15.03,358.83,Reifen Typ 25 Beschreibung
COMP-0026,Reifen Typ 26,Fahrradkomponenten,Nos,1,184.26,56.22,Reifen Typ 26 Beschreibung
COMP-0027,Gabel Typ 27,Fahrradkomponenten,Nos,1,189.92,341.55,Gabel Typ 27 Beschreibung
COMP-0028,Schaltung Typ 28,Fahrradkomponenten,Nos,1,120.2,350.49,Schaltung Typ 28 Beschreibung
COMP-0029,Rahmen Typ 29,Fahrradkomponenten,Nos,1,182.14,121.06,Rahmen Typ 29 Beschreibung
COMP-0030,Kette Typ 30,Fahrradkomponenten,Nos,1,22.1,319.72,Kette Typ 30 Beschreibung
