ID,Account Currency (From),Account Currency (To),Account Paid From,Account Paid To,Company,Paid Amount,Paid Amount (Company Currency),Payment Type,Posting Date,Received Amount,Received Amount (Company Currency),Series,Source Exchange Rate,Target Exchange Rate,ID (Payment References),Type (Payment References),Name (Payment References),ID (Advance Taxes and Charges),Account Head (Advance Taxes and Charges),Add Or Deduct (Advance Taxes and Charges),Description (Advance Taxes and Charges),Party Type,Party,Cheque/Reference Date,Cheque/Reference No,Type (Advance Taxes and Charges)
ACC-PAY-2021-41947,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"75000,00","75000,00",Pay,2021-01-26,"75000,00","75000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-36487,Purchase Invoice,ACC-PINV-2020-00603,ADTAX-2021-15985,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-1347,2021-01-26,881,Actual
ACC-PAY-2024-17792,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"10000,00","10000,00",Pay,2024-02-26,"10000,00","10000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-80549,Purchase Invoice,ACC-PINV-2024-20787,ADTAX-2024-60388,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7127,2024-02-26,806,Actual
ACC-PAY-2021-87650,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2021-04-09,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-64765,Purchase Invoice,ACC-PINV-2021-03381,ADTAX-2021-45681,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-3188,2021-04-09,366,Actual
ACC-PAY-2024-33604,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"12500,00","12500,00",Pay,2024-08-26,"12500,00","12500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-12006,Purchase Invoice,ACC-PINV-2024-58901,ADTAX-2024-68686,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8452,2024-08-26,917,Actual
ACC-PAY-2021-09488,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"75000,00","75000,00",Pay,2021-04-06,"75000,00","75000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-04781,Purchase Invoice,ACC-PINV-2021-28181,ADTAX-2021-55031,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7042,2021-04-06,182,Actual
ACC-PAY-2024-09599,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"12500,00","12500,00",Pay,2024-06-09,"12500,00","12500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-04934,Purchase Invoice,ACC-PINV-2024-20041,ADTAX-2024-39886,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4365,2024-06-09,932,Actual
ACC-PAY-2021-24883,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"50000,00","50000,00",Pay,2021-08-19,"50000,00","50000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-40315,Purchase Invoice,ACC-PINV-2021-72900,ADTAX-2021-66253,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5728,2021-08-19,772,Actual
ACC-PAY-2024-04536,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"10000,00","10000,00",Pay,2024-06-06,"10000,00","10000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-47300,Purchase Invoice,ACC-PINV-2024-81364,ADTAX-2024-38830,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-1186,2024-06-06,555,Actual
ACC-PAY-2024-66409,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"100000,00","100000,00",Pay,2024-05-04,"100000,00","100000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-59246,Purchase Invoice,ACC-PINV-2024-56008,ADTAX-2024-98270,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7331,2024-05-04,539,Actual
ACC-PAY-2023-01603,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"15000,00","15000,00",Pay,2023-03-12,"15000,00","15000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-78744,Purchase Invoice,ACC-PINV-2023-15857,ADTAX-2023-83763,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4441,2023-03-12,887,Actual
ACC-PAY-2020-77152,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2020-01-17,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-05541,Purchase Invoice,ACC-PINV-2019-47760,ADTAX-2020-44582,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-2823,2020-01-17,134,Actual
ACC-PAY-2022-24354,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"40000,00","40000,00",Pay,2022-10-27,"40000,00","40000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-93233,Purchase Invoice,ACC-PINV-2022-76059,ADTAX-2022-99147,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5367,2022-10-27,326,Actual
ACC-PAY-2020-09662,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"10000,00","10000,00",Pay,2020-01-31,"10000,00","10000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-01803,Purchase Invoice,ACC-PINV-2020-08046,ADTAX-2020-98974,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4108,2020-01-31,755,Actual
ACC-PAY-2020-13478,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"2500,00","2500,00",Pay,2020-05-03,"2500,00","2500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-46773,Purchase Invoice,ACC-PINV-2020-77979,ADTAX-2020-11100,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5367,2020-05-03,624,Actual
ACC-PAY-2020-81826,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"40000,00","40000,00",Pay,2020-04-22,"40000,00","40000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-25770,Purchase Invoice,ACC-PINV-2020-17727,ADTAX-2020-37523,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9071,2020-04-22,80,Actual
ACC-PAY-2022-11312,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2022-07-30,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-71583,Purchase Invoice,ACC-PINV-2022-47324,ADTAX-2022-76300,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7331,2022-07-30,438,Actual
ACC-PAY-2023-02791,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2023-06-19,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-71194,Purchase Invoice,ACC-PINV-2023-50348,ADTAX-2023-40828,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9946,2023-06-19,612,Actual
ACC-PAY-2021-27991,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2021-10-12,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-08401,Purchase Invoice,ACC-PINV-2021-60469,ADTAX-2021-68652,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-3188,2021-10-12,607,Actual
ACC-PAY-2022-36811,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"40000,00","40000,00",Pay,2022-01-09,"40000,00","40000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-17434,Purchase Invoice,ACC-PINV-2021-34982,ADTAX-2022-25558,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5367,2022-01-09,673,Actual
ACC-PAY-2020-80880,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"75000,00","75000,00",Pay,2020-12-19,"75000,00","75000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-18169,Purchase Invoice,ACC-PINV-2020-45410,ADTAX-2020-96548,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7042,2020-12-19,68,Actual
ACC-PAY-2022-41687,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2022-06-08,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-20838,Purchase Invoice,ACC-PINV-2022-56104,ADTAX-2022-72241,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8367,2022-06-08,701,Actual
ACC-PAY-2024-22410,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"40000,00","40000,00",Pay,2024-10-27,"40000,00","40000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-27417,Purchase Invoice,ACC-PINV-2024-54690,ADTAX-2024-02172,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5367,2024-10-27,432,Actual
ACC-PAY-2023-21373,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"30000,00","30000,00",Pay,2023-11-25,"30000,00","30000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-01720,Purchase Invoice,ACC-PINV-2023-55453,ADTAX-2023-37930,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-6297,2023-11-25,189,Actual
ACC-PAY-2024-60895,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2024-06-30,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-40665,Purchase Invoice,ACC-PINV-2024-55336,ADTAX-2024-48591,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5367,2024-06-30,629,Actual
ACC-PAY-2021-04591,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"100000,00","100000,00",Pay,2021-11-29,"100000,00","100000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-76663,Purchase Invoice,ACC-PINV-2021-52737,ADTAX-2021-95948,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7331,2021-11-29,734,Actual
ACC-PAY-2023-89752,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"40000,00","40000,00",Pay,2023-01-05,"40000,00","40000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-90171,Purchase Invoice,ACC-PINV-2022-20611,ADTAX-2023-25636,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8134,2023-01-05,125,Actual
ACC-PAY-2020-85738,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"25000,00","25000,00",Pay,2020-02-16,"25000,00","25000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-15871,Purchase Invoice,ACC-PINV-2020-57296,ADTAX-2020-58892,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-8367,2020-02-16,904,Actual
