ID,Credit To,Date,Due Date,Series,Supplier,Item (Items),Accepted Qty (Items),Accepted Qty in Stock UOM (Items),Amount (Items),Amount (Company Currency) (Items),Item Name (Items),Rate (Items),Rate (Company Currency) (Items),UOM (Items),UOM Conversion Factor (Items),Purchase Order (Items),Purchase Order Item (Items),Purchase Receipt (Items),Purchase Receipt Detail (Items),ID (Purchase Taxes and Charges),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Expense Head (Items),Deferred Expense Account (Items)
ACC-PINV-2024-00007,3500 - Sonstige Verb. - B,2020-11-29,2020-12-29,ACC-PINV-.YYYY.-,SUP-7171,COMP-0015,500.0,"500,00",7500.0,7500.0,Kette 9-fach,15.0,15.0,Nos,1.0,PUR-ORD-2024-00020,ulglhnh9uj,MAT-PRE-2024-00005,um0lscg5vd,PITAX-ACC-PINV-2024-00007,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00008,3500 - Sonstige Verb. - B,2021-09-08,2021-10-08,ACC-PINV-.YYYY.-,SUP-4312,COMP-0031,500.0,"500,00",7500.0,7500.0,Vorbau Standardvorbau,15.0,15.0,Nos,1.0,PUR-ORD-2024-00021,ulgoh5l2vu,MAT-PRE-2024-00006,um0tuoakv2,PITAX-ACC-PINV-2024-00008,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00009,3500 - Sonstige Verb. - B,2022-01-20,2022-02-19,ACC-PINV-.YYYY.-,SUP-7331,COMP-0027,500.0,"500,00",7500.0,7500.0,Vorbau Standardvorbau,15.0,15.0,Nos,1.0,PUR-ORD-2024-00022,ulgu55pgjo,MAT-PRE-2024-00007,um1619pfs8,PITAX-ACC-PINV-2024-00009,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00010,3500 - Sonstige Verb. - B,2021-01-03,2021-02-02,ACC-PINV-.YYYY.-,SUP-7559,COMP-0004,500.0,"500,00",50000.0,50000.0,Laufräder 28 Zoll,100.0,100.0,Nos,1.0,PUR-ORD-2024-00023,ulh15qbga0,MAT-PRE-2024-00008,um1eca3lcr,PITAX-ACC-PINV-2024-00010,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00011,3500 - Sonstige Verb. - B,2019-11-23,2019-12-23,ACC-PINV-.YYYY.-,SUP-9071,COMP-0037,500.0,"500,00",90000.0,90000.0,Schaltung 2x11 Rennrad,180.0,180.0,Nos,1.0,PUR-ORD-2024-00024,ulh456hhmo,MAT-PRE-2024-00009,um1med2n25,PITAX-ACC-PINV-2024-00011,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00012,3500 - Sonstige Verb. - B,2022-01-04,2022-02-03,ACC-PINV-.YYYY.-,SUP-5367,COMP-0033,500.0,"500,00",40000.0,40000.0,Controller Leistungsstark,80.0,80.0,Nos,1.0,PUR-ORD-2024-00025,ulh8hc527v,MAT-PRE-2024-00010,um1s7mkuho,PITAX-ACC-PINV-2024-00012,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00013,3500 - Sonstige Verb. - B,2020-04-05,2020-05-05,ACC-PINV-.YYYY.-,SUP-7127,COMP-0012,500.0,"500,00",10000.0,10000.0,Steuersatz Integriert,20.0,20.0,Nos,1.0,PUR-ORD-2024-00026,ulhc6a117l,MAT-PRE-2024-00011,um23qqh2uf,PITAX-ACC-PINV-2024-00013,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00014,3500 - Sonstige Verb. - B,2021-02-15,2021-03-17,ACC-PINV-.YYYY.-,SUP-7127,COMP-0012,500.0,"500,00",10000.0,10000.0,Steuersatz Integriert,20.0,20.0,Nos,1.0,PUR-ORD-2024-00028,ulhja4vkkd,MAT-PRE-2024-00012,um2fhetv8o,PITAX-ACC-PINV-2024-00014,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00015,3500 - Sonstige Verb. - B,2021-09-15,2021-10-15,ACC-PINV-.YYYY.-,SUP-9071,COMP-0003,500.0,"500,00",40000.0,40000.0,Controller Leistungsstark,80.0,80.0,Nos,1.0,PUR-ORD-2024-00029,ulhn8irdif,MAT-PRE-2024-00013,um2lcm8dv1,PITAX-ACC-PINV-2024-00015,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00016,3500 - Sonstige Verb. - B,2021-02-14,2021-03-16,ACC-PINV-.YYYY.-,SUP-7127,COMP-0012,500.0,"500,00",10000.0,10000.0,Steuersatz Integriert,20.0,20.0,Nos,1.0,PUR-ORD-2024-00030,ulhqrc7eg8,MAT-PRE-2024-00014,um2s4nvk9q,PITAX-ACC-PINV-2024-00016,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
