ID,Company,Currency,Date,Exchange Rate,Net Total (Company Currency),Posting Time,Series,Status,Supplier,ID (Items),Conversion Factor (Items),Item Code (Items),Item Name (Items),Rate (Company Currency) (Items),Received Quantity (Items),Stock UOM (Items),UOM (Items),Purchase Order (Items),Purchase Order Item (Items),Accepted Warehouse (Items),Tax Rate (Purchase Taxes and Charges),Account Head (Purchase Taxes and Charges),Accepted Quantity (Items),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Batch No (Items)
MAT-PRE-2024-00005,Velo GmbH,EUR,2020-11-29,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7171,um0lscg5vd,1.0,COMP-0015,Kette 9-fach,15.0,500.0,Nos,Nos,PUR-ORD-2024-00020,ulglhnh9uj,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-KET-20240714-8150
MAT-PRE-2024-00006,Velo GmbH,EUR,2021-09-08,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4312,um0tuoakv2,1.0,COMP-0031,Vorbau Standardvorbau,15.0,500.0,Nos,Nos,PUR-ORD-2024-00021,ulgoh5l2vu,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-VOR-20240423-5118
MAT-PRE-2024-00007,Velo GmbH,EUR,2022-01-20,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7331,um1619pfs8,1.0,COMP-0027,Vorbau Standardvorbau,15.0,500.0,Nos,Nos,PUR-ORD-2024-00022,ulgu55pgjo,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-VOR-20240309-7452
MAT-PRE-2024-00008,Velo GmbH,EUR,2021-01-03,"1,00",50000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7559,um1eca3lcr,1.0,COMP-0004,Laufräder 28 Zoll,100.0,500.0,Nos,Nos,PUR-ORD-2024-00023,ulh15qbga0,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-LAU-20240830-5118
MAT-PRE-2024-00009,Velo GmbH,EUR,2019-11-23,"1,00",90000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-9071,um1med2n25,1.0,COMP-0037,Schaltung 2x11 Rennrad,180.0,500.0,Nos,Nos,PUR-ORD-2024-00024,ulh456hhmo,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-SCH-20240830-713
MAT-PRE-2024-00010,Velo GmbH,EUR,2022-01-04,"1,00",40000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-5367,um1s7mkuho,1.0,COMP-0033,Controller Leistungsstark,80.0,500.0,Nos,Nos,PUR-ORD-2024-00025,ulh8hc527v,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-CON-20240410-6765
MAT-PRE-2024-00011,Velo GmbH,EUR,2020-04-05,"1,00",10000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7127,um23qqh2uf,1.0,COMP-0012,Steuersatz Integriert,20.0,500.0,Nos,Nos,PUR-ORD-2024-00026,ulhc6a117l,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-STE-20241003-6246
MAT-PRE-2024-00012,Velo GmbH,EUR,2021-02-15,"1,00",10000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7127,um2fhetv8o,1.0,COMP-0012,Steuersatz Integriert,20.0,500.0,Nos,Nos,PUR-ORD-2024-00028,ulhja4vkkd,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-STE-20241003-6246
MAT-PRE-2024-00013,Velo GmbH,EUR,2021-09-15,"1,00",40000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-9071,um2lcm8dv1,1.0,COMP-0003,Controller Leistungsstark,80.0,500.0,Nos,Nos,PUR-ORD-2024-00029,ulhn8irdif,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-CON-20240317-747
MAT-PRE-2024-00014,Velo GmbH,EUR,2021-02-14,"1,00",10000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7127,um2s4nvk9q,1.0,COMP-0012,Steuersatz Integriert,20.0,500.0,Nos,Nos,PUR-ORD-2024-00030,ulhqrc7eg8,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-STE-20241003-6246
