ID                   ,Company   ,Conversion Rate ,Currency ,Item                ,Quantity ,Default Source Warehouse ,Default Target Warehouse ,Item Description                                                                                    ,Item Name           ,Item Code (Items)      ,Qty (Items) ,Rate (Items) ,UOM (Items)
BOM-BIKE-PRO-002    ,Velo GmbH ,            1.0 ,EUR      ,STO-BIKE-2024-0003 ,     1.0 ,Lager Stuttgart - B      ,Lager Stuttgart - B      ,"Vielseitiges Gravel-Bike mit Shimano GRX Ausstattung. Perfekt für Abenteuer auf und abseits der Straße." ,Velo Gravel Adventure ,                    ,            ,             ,
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-F004   ,        1.0 ,     1199.99 ,Nos         // Gravel Carbon Frame Pro
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-F008   ,        1.0 ,      449.99 ,Nos         // Gravel Carbon Fork Advanced
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C001   ,        1.0 ,      249.99 ,Nos         // Carbon Pro Race Lenker
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C005   ,        1.0 ,      159.99 ,Nos         // Carbon Vorbau Elite
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C007   ,        1.0 ,      179.99 ,Nos         // Carbon Sattelstütze Pro
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C009   ,        1.0 ,      149.99 ,Nos         // Carbon Sattel Race Pro
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-W005   ,        1.0 ,      599.99 ,Nos         // Gravel Laufradsatz Pro
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-W008   ,        2.0 ,       39.99 ,Nos         // Gravel Pro Reifen
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-B004   ,        1.0 ,      299.99 ,Nos         // Gravel Disc Brake Pro
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-B006   ,        2.0 ,       54.99 ,Nos         // Race Disc 160mm Ice-Tech
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-D003   ,        1.0 ,      899.99 ,Nos         // Gravel GRX Di2 Set
