Sr;Label;Type;Name;Mandatory;Options;Default;Fetch From;Display Depends On (JS);;;;;;;;;;;;;;;;;;;
1;Title;Data;title;;;{customer_name};;;;;;;;;;;;;;;;;;;;;
2;Series;Select;naming_series;x;MAT-DN-.YYYY.-;;;;;;;;;;;;;;;;;;;;;;
3;Customer;Link;customer;x;Customer;;;;;;;;;;;;;;;;;;;;;;
4;Tax Id;Data;tax_id;;;;;;;;;;;;;;;;;;;;;;;;
5;Customer Name;Data;customer_name;;;;customer.customer_name;customer;;;;;;;;;;;;;;;;;;;
6;;Column Break;column_break1;;;;;;;;;;;;;;;;;;;;;;;;
7;Date;Date;posting_date;x;;Today;;;;;;;;;;;;;;;;;;;;;
8;Posting Time;Time;posting_time;x;;;;;;;;;;;;;;;;;;;;;;;
9;Edit Posting Date and Time;Check;set_posting_time;;;0;;eval:doc.docstatus==0;;;;;;;;;;;;;;;;;;;
10;;Column Break;column_break_10;;;;;;;;;;;;;;;;;;;;;;;;
11;Company;Link;company;x;Company;;;;;;;;;;;;;;;;;;;;;;
12;Amended From;Link;amended_from;;Delivery Note;;;;;;;;;;;;;;;;;;;;;;
13;Is Return;Check;is_return;;;0;;;;;;;;;;;;;;;;;;;;;
14;Issue Credit Note;Check;issue_credit_note;;;0;;is_return;;;;;;;;;;;;;;;;;;;
15;Return Against Delivery Note;Link;return_against;;Delivery Note;;;is_return;;;;;;;;;;;;;;;;;;;
16;Accounting Dimensions;Section Break;accounting_dimensions_section;;;;;;;;;;;;;;;;;;;;;;;;
17;Cost Center;Link;cost_center;;Cost Center;;;;;;;;;;;;;;;;;;;;;;
18;;Column Break;column_break_18;;;;;;;;;;;;;;;;;;;;;;;;
19;Project;Link;project;;Project;;;;;;;;;;;;;;;;;;;;;;
20;;Column Break;dimension_col_break;;;;;;;;;;;;;;;;;;;;;;;;
21;Currency and Price List;Section Break;currency_and_price_list;;fa fa-tag;;;;;;;;;;;;;;;;;;;;;;
22;Currency;Link;currency;x;Currency;;;;;;;;;;;;;;;;;;;;;;
23;Exchange Rate;Float;conversion_rate;x;;;;;;;;;;;;;;;;;;;;;;;
24;;Column Break;col_break23;;;;;;;;;;;;;;;;;;;;;;;;
25;Price List;Link;selling_price_list;x;Price List;;;;;;;;;;;;;;;;;;;;;;
26;Price List Currency;Link;price_list_currency;x;Currency;;;;;;;;;;;;;;;;;;;;;;
27;Price List Exchange Rate;Float;plc_conversion_rate;x;;;;;;;;;;;;;;;;;;;;;;;
28;Ignore Pricing Rule;Check;ignore_pricing_rule;;;0;;;;;;;;;;;;;;;;;;;;;
29;Items;Section Break;items_section;;fa fa-shopping-cart;;;;;;;;;;;;;;;;;;;;;;
30;Scan Barcode;Data;scan_barcode;;Barcode;;;;;;;;;;;;;;;;;;;;;;
31;Pick List;Link;pick_list;;Pick List;;;;;;;;;;;;;;;;;;;;;;
32;;Column Break;col_break_warehouse;;;;;;;;;;;;;;;;;;;;;;;;
33;Set Source Warehouse;Link;set_warehouse;;Warehouse;;;;;;;;;;;;;;;;;;;;;;
34;Set Target Warehouse;Link;set_target_warehouse;;Warehouse;;;eval: doc.is_internal_customer;;;;;;;;;;;;;;;;;;;
35;;Section Break;section_break_30;;;;;;;;;;;;;;;;;;;;;;;;
36;Delivery Note Item;Table;items;x;Delivery Note Item;;;;;;;;;;;;;;;;;;;;;;
37;;Section Break;section_break_31;;;;;;;;;;;;;;;;;;;;;;;;
38;Total Quantity;Float;total_qty;;;;;;;;;;;;;;;;;;;;;;;;
39;Total Net Weight;Float;total_net_weight;;;;;total_net_weight;;;;;;;;;;;;;;;;;;;
40;;Column Break;column_break_35;;;;;;;;;;;;;;;;;;;;;;;;
41;Total (Company Currency);Currency;base_total;;Company:company:default_currency;;;;;;;;;;;;;;;;;;;;;;
42;Net Total (Company Currency);Currency;base_net_total;;Company:company:default_currency;;;;;;;;;;;;;;;;;;;;;;
43;;Column Break;column_break_33;;;;;;;;;;;;;;;;;;;;;;;;
44;Total;Currency;total;;currency;;;;;;;;;;;;;;;;;;;;;;
45;Net Total;Currency;net_total;;currency;;;;;;;;;;;;;;;;;;;;;;
46;Taxes and Charges;Section Break;taxes_section;;fa fa-money;;;;;;;;;;;;;;;;;;;;;;
47;Tax Category;Link;tax_category;;Tax Category;;;;;;;;;;;;;;;;;;;;;;
48;Sales Taxes and Charges Template;Link;taxes_and_charges;;Sales Taxes and Charges Template;;;;;;;;;;;;;;;;;;;;;;
49;;Column Break;column_break_43;;;;;;;;;;;;;;;;;;;;;;;;
50;Shipping Rule;Link;shipping_rule;;Shipping Rule;;;;;;;;;;;;;;;;;;;;;;
51;;Column Break;column_break_39;;;;;;;;;;;;;;;;;;;;;;;;
52;Incoterm;Link;incoterm;;Incoterm;;;;;;;;;;;;;;;;;;;;;;
53;Named Place;Data;named_place;;;;;incoterm;;;;;;;;;;;;;;;;;;;
54;;Section Break;section_break_41;;;;;;;;;;;;;;;;;;;;;;;;
55;Sales Taxes and Charges;Table;taxes;;Sales Taxes and Charges;;;;;;;;;;;;;;;;;;;;;;
56;;Section Break;section_break_44;;;;;;;;;;;;;;;;;;;;;;;;
57;Total Taxes and Charges (Company Currency);Currency;base_total_taxes_and_charges;;Company:company:default_currency;;;;;;;;;;;;;;;;;;;;;;
58;;Column Break;column_break_47;;;;;;;;;;;;;;;;;;;;;;;;
59;Total Taxes and Charges;Currency;total_taxes_and_charges;;currency;;;;;;;;;;;;;;;;;;;;;;
60;Totals;Section Break;totals;;fa fa-money;;;;;;;;;;;;;;;;;;;;;;
61;Grand Total (Company Currency);Currency;base_grand_total;;Company:company:default_currency;;;;;;;;;;;;;;;;;;;;;;
62;Rounding Adjustment (Company Currency);Currency;base_rounding_adjustment;;Company:company:default_currency;;;eval:!doc.disable_rounded_total;;;;;;;;;;;;;;;;;;;
63;Rounded Total (Company Currency);Currency;base_rounded_total;;Company:company:default_currency;;;eval:!doc.disable_rounded_total;;;;;;;;;;;;;;;;;;;
64;In Words (Company Currency);Data;base_in_words;;;;;;;;;;;;;;;;;;;;;;;;
65;;Column Break;column_break3;;;;;;;;;;;;;;;;;;;;;;;;
66;Grand Total;Currency;grand_total;;currency;;;;;;;;;;;;;;;;;;;;;;
67;Rounding Adjustment;Currency;rounding_adjustment;;currency;;;eval:!doc.disable_rounded_total;;;;;;;;;;;;;;;;;;;
68;Rounded Total;Currency;rounded_total;;currency;;;eval:!doc.disable_rounded_total;;;;;;;;;;;;;;;;;;;
69;In Words;Data;in_words;;;;;;;;;;;;;;;;;;;;;;;;
70;Disable Rounded Total;Check;disable_rounded_total;;;0;;grand_total;;;;;;;;;;;;;;;;;;;
71;Additional Discount;Section Break;section_break_49;;;;;;;;;;;;;;;;;;;;;;;;
72;Apply Additional Discount On;Select;apply_discount_on;;Grand Total;Grand Total;;;;;;;;;;;;;;;;;;;;;
73;Additional Discount Amount (Company Currency);Currency;base_discount_amount;;Company:company:default_currency;;;;;;;;;;;;;;;;;;;;;;
74;;Column Break;column_break_51;;;;;;;;;;;;;;;;;;;;;;;;
75;Additional Discount Percentage;Float;additional_discount_percentage;;;;;;;;;;;;;;;;;;;;;;;;
76;Additional Discount Amount;Currency;discount_amount;;currency;;;;;;;;;;;;;;;;;;;;;;
77;Tax Breakup;Section Break;sec_tax_breakup;;;;;;;;;;;;;;;;;;;;;;;;
78;Taxes and Charges Calculation;Text Editor;other_charges_calculation;;;;;;;;;;;;;;;;;;;;;;;;
79;Packing List;Section Break;packing_list;;fa fa-suitcase;;;packed_items;;;;;;;;;;;;;;;;;;;
80;Packed Items;Table;packed_items;;Packed Item;;;packed_items;;;;;;;;;;;;;;;;;;;
81;Product Bundle Help;HTML;product_bundle_help;;;;;;;;;;;;;;;;;;;;;;;;
82;Pricing Rules;Section Break;pricing_rule_details;;;;;;;;;;;;;;;;;;;;;;;;
83;Pricing Rule Detail;Table;pricing_rules;;Pricing Rule Detail;;;;;;;;;;;;;;;;;;;;;;
84;Address & Contact;Tab Break;address_and_contact_tab;;;;;;;;;;;;;;;;;;;;;;;;
85;Billing Address;Section Break;contact_info;;fa fa-bullhorn;;;customer;;;;;;;;;;;;;;;;;;;
86;Billing Address Name;Link;customer_address;;Address;;;customer;;;;;;;;;;;;;;;;;;;
87;Billing Address;Text Editor;address_display;;;;;;;;;;;;;;;;;;;;;;;;
88;;Column Break;col_break21;;;;;;;;;;;;;;;;;;;;;;;;
89;Contact Person;Link;contact_person;;Contact;;;;;;;;;;;;;;;;;;;;;;
90;Contact;Small Text;contact_display;;;;;;;;;;;;;;;;;;;;;;;;
91;Mobile No;Small Text;contact_mobile;;Phone;;;;;;;;;;;;;;;;;;;;;;
92;Contact Email;Data;contact_email;;Email;;;;;;;;;;;;;;;;;;;;;;
93;Shipping Address;Section Break;shipping_address_section;;;;;;;;;;;;;;;;;;;;;;;;
94;Shipping Address;Link;shipping_address_name;;Address;;;;;;;;;;;;;;;;;;;;;;
95;Shipping Address;Text Editor;shipping_address;;;;;;;;;;;;;;;;;;;;;;;;
96;;Column Break;column_break_95;;;;;;;;;;;;;;;;;;;;;;;;
97;Dispatch Address Name;Link;dispatch_address_name;;Address;;;;;;;;;;;;;;;;;;;;;;
98;Dispatch Address;Text Editor;dispatch_address;;;;;dispatch_address_name;;;;;;;;;;;;;;;;;;;
99;Company Address;Section Break;company_address_section;;;;;;;;;;;;;;;;;;;;;;;;
100;Company Address Name;Link;company_address;;Address;;;;;;;;;;;;;;;;;;;;;;
101;;Column Break;column_break_101;;;;;;;;;;;;;;;;;;;;;;;;
102;Company Address;Text Editor;company_address_display;;;;;;;;;;;;;;;;;;;;;;;;
