Sr;Label;Type;Name;Mandatory;Options;Default;Display Depends On (JS);;;;;;;;;;;;;;;;
1;Details;Tab Break;details;;fa fa-flag;;;;;;;;;;;;;;;;;;
2;Series;Select;naming_series;;STO-ITEM-.YYYY.-;;;;;;;;;;;;;;;;;;
3;Item Code;Data;item_code;x;;;;;;;;;;;;;;;;;;;
4;Item Name;Data;item_name;;;;;;;;;;;;;;;;;;;;
5;Item Group;Link;item_group;x;Item Group;;;;;;;;;;;;;;;;;;
6;Default Unit of Measure;Link;stock_uom;x;UOM;;;;;;;;;;;;;;;;;;
7;;Column Break;column_break0;;;;;;;;;;;;;;;;;;;;
8;Disabled;Check;disabled;;;0;;;;;;;;;;;;;;;;;
9;Allow Alternative Item;Check;allow_alternative_item;;;0;;;;;;;;;;;;;;;;;
10;Maintain Stock;Check;is_stock_item;;;1;eval:!doc.is_fixed_asset;;;;;;;;;;;;;;;;
11;Has Variants;Check;has_variants;;;0;eval:!doc.variant_of;;;;;;;;;;;;;;;;
12;Opening Stock;Float;opening_stock;;;;eval:(doc.__islocal&&doc.is_stock_item && !doc.has_serial_no && !doc.has_batch_no);;;;;;;;;;;;;;;;
13;Valuation Rate;Currency;valuation_rate;;;;is_stock_item;;;;;;;;;;;;;;;;
14;Standard Selling Rate;Currency;standard_rate;;;;eval:doc.__islocal;;;;;;;;;;;;;;;;
15;Is Fixed Asset;Check;is_fixed_asset;;;0;;;;;;;;;;;;;;;;;
16;Auto Create Assets on Purchase;Check;auto_create_assets;;;0;is_fixed_asset;;;;;;;;;;;;;;;;
17;Create Grouped Asset;Check;is_grouped_asset;;;0;auto_create_assets;;;;;;;;;;;;;;;;
18;Asset Category;Link;asset_category;;Asset Category;;is_fixed_asset;;;;;;;;;;;;;;;;
19;Asset Naming Series;Select;asset_naming_series;;;;is_fixed_asset;;;;;;;;;;;;;;;;
20;Over Delivery/Receipt Allowance (%);Float;over_delivery_receipt_allowance;;;;eval:!doc.__islocal && !doc.is_fixed_asset;;;;;;;;;;;;;;;;
21;Over Billing Allowance (%);Float;over_billing_allowance;;;;eval:!doc.__islocal && !doc.is_fixed_asset;;;;;;;;;;;;;;;;
22;Image;Attach Image;image;;image;;;;;;;;;;;;;;;;;;
23;Description;Section Break;section_break_11;;;;;;;;;;;;;;;;;;;;
24;Description;Text Editor;description;;;;;;;;;;;;;;;;;;;;
25;Brand;Link;brand;;Brand;;;;;;;;;;;;;;;;;;
26;Units of Measure;Section Break;unit_of_measure_conversion;;;;;;;;;;;;;;;;;;;;
27;UOMs;Table;uoms;;UOM Conversion Detail;;;;;;;;;;;;;;;;;;
28;Dashboard;Tab Break;dashboard_tab;;;;;;;;;;;;;;;;;;;;
29;Inventory;Tab Break;inventory_section;;fa fa-truck;;is_stock_item;;;;;;;;;;;;;;;;
30;Inventory Settings;Section Break;inventory_settings_section;;;;;;;;;;;;;;;;;;;;
31;Shelf Life In Days;Int;shelf_life_in_days;;;;;;;;;;;;;;;;;;;;
32;End of Life;Date;end_of_life;;;31.12.99;is_stock_item;;;;;;;;;;;;;;;;
33;Default Material Request Type;Select;default_material_request_type;;Purchase;Purchase;;;;;;;;;;;;;;;;;
34;Valuation Method;Select;valuation_method;;FIFO;;is_stock_item;;;;;;;;;;;;;;;;
35;;Column Break;column_break1;;;;is_stock_item;;;;;;;;;;;;;;;;
36;Warranty Period (in days);Data;warranty_period;;;;eval:doc.is_stock_item;;;;;;;;;;;;;;;;
37;Weight Per Unit;Float;weight_per_unit;;;;is_stock_item;;;;;;;;;;;;;;;;
38;Weight UOM;Link;weight_uom;;UOM;;eval:doc.is_stock_item;;;;;;;;;;;;;;;;
39;Allow Negative Stock;Check;allow_negative_stock;;;0;;;;;;;;;;;;;;;;;
40;Barcodes;Section Break;sb_barcodes;;;;;;;;;;;;;;;;;;;;
41;Barcodes;Table;barcodes;;Item Barcode;;;;;;;;;;;;;;;;;;
42;Auto re-order;Section Break;reorder_section;;fa fa-rss;;is_stock_item;;;;;;;;;;;;;;;;
43;Reorder level based on Warehouse;Table;reorder_levels;;Item Reorder;;;;;;;;;;;;;;;;;;
