Sr;Label;Type;Name;Mandatory;Options;Default;Fetch From;Display Depends On (JS);;;;;;;;;;;;;;;;;;
1;;Section Break;customer_section;;fa fa-user;;;;;;;;;;;;;;;;;;;;;
2;Title;Data;title;;;{customer_name};;;;;;;;;;;;;;;;;;;;
3;Series;Select;naming_series;x;ACC-SINV-.YYYY.-;;;;;;;;;;;;;;;;;;;;;
4;Customer;Link;customer;;Customer;;;;;;;;;;;;;;;;;;;;;
5;Customer Name;Small Text;customer_name;;;;customer.customer_name;customer;;;;;;;;;;;;;;;;;;
6;Tax Id;Data;tax_id;;;;;;;;;;;;;;;;;;;;;;;
7;Company;Link;company;x;Company;;;;;;;;;;;;;;;;;;;;;
8;Company Tax ID;Data;company_tax_id;;;;company.tax_id;;;;;;;;;;;;;;;;;;;
9;;Column Break;column_break1;;;;;;;;;;;;;;;;;;;;;;;
10;Date;Date;posting_date;x;;Today;;;;;;;;;;;;;;;;;;;;
11;Posting Time;Time;posting_time;;;;;;;;;;;;;;;;;;;;;;;
12;Edit Posting Date and Time;Check;set_posting_time;;;0;;eval:doc.docstatus==0;;;;;;;;;;;;;;;;;;
13;Payment Due Date;Date;due_date;;;;;;;;;;;;;;;;;;;;;;;
14;;Column Break;column_break_14;;;;;;;;;;;;;;;;;;;;;;;
15;Include Payment (POS);Check;is_pos;;;0;;;;;;;;;;;;;;;;;;;;
16;POS Profile;Link;pos_profile;;POS Profile;;;is_pos;;;;;;;;;;;;;;;;;;
17;Is Consolidated;Check;is_consolidated;;;0;;eval:(doc.is_pos && doc.is_consolidated);;;;;;;;;;;;;;;;;;
18;Is Return (Credit Note);Check;is_return;;;0;;eval: !doc.is_debit_note;;;;;;;;;;;;;;;;;;
19;Return Against;Link;return_against;;Sales Invoice;;;eval:doc.return_against || doc.is_debit_note;;;;;;;;;;;;;;;;;;
20;Update Outstanding for Self;Check;update_outstanding_for_self;;;1;;eval: doc.is_return && doc.return_against;;;;;;;;;;;;;;;;;;
21;Update Billed Amount in Sales Order;Check;update_billed_amount_in_sales_order;;;0;;eval: doc.is_return;;;;;;;;;;;;;;;;;;
22;Update Billed Amount in Delivery Note;Check;update_billed_amount_in_delivery_note;;;1;;eval: doc.is_return;;;;;;;;;;;;;;;;;;
23;Is Rate Adjustment Entry (Debit Note);Check;is_debit_note;;;0;;eval: !doc.is_return;;;;;;;;;;;;;;;;;;
24;Amended From;Link;amended_from;;Sales Invoice;;;;;;;;;;;;;;;;;;;;;
25;Accounting Dimensions;Section Break;accounting_dimensions_section;;;;;;;;;;;;;;;;;;;;;;;
26;Cost Center;Link;cost_center;;Cost Center;;;;;;;;;;;;;;;;;;;;;
27;;Column Break;dimension_col_break;;;;;;;;;;;;;;;;;;;;;;;
28;Project;Link;project;;Project;;;;;;;;;;;;;;;;;;;;;
29;Currency and Price List;Section Break;currency_and_price_list;;;;;customer;;;;;;;;;;;;;;;;;;
30;Currency;Link;currency;x;Currency;;;;;;;;;;;;;;;;;;;;;
31;Exchange Rate;Float;conversion_rate;x;;;;;;;;;;;;;;;;;;;;;;
32;;Column Break;column_break2;;;;;;;;;;;;;;;;;;;;;;;
33;Price List;Link;selling_price_list;x;Price List;;;;;;;;;;;;;;;;;;;;;
34;Price List Currency;Link;price_list_currency;x;Currency;;;;;;;;;;;;;;;;;;;;;
35;Price List Exchange Rate;Float;plc_conversion_rate;x;;;;;;;;;;;;;;;;;;;;;;
36;Ignore Pricing Rule;Check;ignore_pricing_rule;;;0;;;;;;;;;;;;;;;;;;;;
37;Items;Section Break;items_section;;fa fa-shopping-cart;;;;;;;;;;;;;;;;;;;;;
38;Scan Barcode;Data;scan_barcode;;Barcode;;;;;;;;;;;;;;;;;;;;;
39;Update Stock;Check;update_stock;;;0;;;;;;;;;;;;;;;;;;;;
40;;Column Break;column_break_39;;;;;;;;;;;;;;;;;;;;;;;
