Sr;Label;Type;Name;Mandatory;Options;Default;Fetch From;Display Depends On (JS)
1;;Section Break;customer_section;;fa fa-user;;;
2;;Column Break;column_break0;;;;;
3;Title;Data;title;;;{customer_name};;
4;Series;Select;naming_series;x;SAL-ORD-.YYYY.-;;;
5;Customer;Link;customer;x;Customer;;;
6;Customer Name;Data;customer_name;;;;customer.customer_name;
7;Tax Id;Data;tax_id;;;;customer.tax_id;
8;Order Type;Select;order_type;x;Sales;Sales;;
9;;Column Break;column_break_7;;;;;
10;Date;Date;transaction_date;x;;Today;;
11;Delivery Date;Date;delivery_date;;;;;eval:!doc.skip_delivery_note
12;;Column Break;column_break1;;;;;
13;Customer's Purchase Order;Data;po_no;;;;;
14;Customer's Purchase Order Date;Date;po_date;;;;;eval:doc.po_no
15;Company;Link;company;x;Company;;;
16;Skip Delivery Note;Check;skip_delivery_note;;;0;;
17;Amended From;Link;amended_from;;Sales Order;;;
18;Accounting Dimensions;Section Break;accounting_dimensions_section;;;;;
19;Cost Center;Link;cost_center;;Cost Center;;;
20;;Column Break;dimension_col_break;;;;;
21;Project;Link;project;;Project;;;
22;Currency and Price List;Section Break;currency_and_price_list;;fa fa-tag;;;
23;Currency;Link;currency;x;Currency;;;
24;Exchange Rate;Float;conversion_rate;x;;;;
25;;Column Break;column_break2;;;;;
26;Price List;Link;selling_price_list;x;Price List;;;
27;Price List Currency;Link;price_list_currency;x;Currency;;;
28;Price List Exchange Rate;Float;plc_conversion_rate;x;;;;
29;Ignore Pricing Rule;Check;ignore_pricing_rule;;;0;;
30;Items;Section Break;sec_warehouse;;;;;
31;Scan Barcode;Data;scan_barcode;;Barcode;;;
32;;Column Break;column_break_28;;;;;
33;Set Source Warehouse;Link;set_warehouse;;Warehouse;;;
34;Reserve Stock;Check;reserve_stock;;;0;;eval: (doc.docstatus == 0 || doc.reserve_stock)
35;;Section Break;items_section;;fa fa-shopping-cart;;;
36;Items;Table;items;x;Sales Order Item;;;
37;;Section Break;section_break_31;;;;;
38;Total Quantity;Float;total_qty;;;;;
39;Total Net Weight;Float;total_net_weight;;;;;total_net_weight
40;;Column Break;column_break_33;;;;;
41;Total (Company Currency);Currency;base_total;;Company:company:default_currency;;;
42;Net Total (Company Currency);Currency;base_net_total;;Company:company:default_currency;;;
43;;Column Break;column_break_33a;;;;;
44;Total;Currency;total;;currency;;;
45;Net Total;Currency;net_total;;currency;;;
