"ID","Company","Warehouse Name"
"Lager Lyon - B","Velo GmbH","Lager Lyon"
"Lager Paris - B","Velo GmbH","Lager Paris"
"Lager Berlin - B","Velo GmbH","Lager Berlin"
"Lager Frankfurt - B","Velo GmbH","Lager Frankfurt"
"Lager München - B","Velo GmbH","Lager München"
"Lager Stuttgart - B","Velo GmbH","Lager Stuttgart (Hauptlager)"
"Lager Madrid - B","Velo GmbH","Lager Madrid"
"Lager Faro - B","Velo GmbH","Lager Faro"
"Lager Lissabon - B","Velo GmbH","Lager Lissabon"
"Lager Amsterdam - B","Velo GmbH","Lager Amsterdam"
"Den Haag - B","Velo GmbH","Den Haag"
