Item Code,Supplier ID
EBIKE-0001,SUP-5728
BIKE-0002,SUP-9131
COMP-0001,SUP-1942
COMP-0002,SUP-9527
COMP-0003,SUP-8754
COMP-0004,SUP-3249
COMP-0005,SUP-9625
COMP-0006,SUP-7331
COMP-0007,SUP-3249
COMP-0008,SUP-5367
COMP-0009,SUP-9946
COMP-0010,SUP-9123
COMP-0011,SUP-6297
COMP-0012,SUP-4441
COMP-0013,SUP-7885
COMP-0014,SUP-3829
COMP-0015,SUP-7559
COMP-0016,SUP-8134
COMP-0017,SUP-8953
COMP-0018,SUP-1347
COMP-0019,SUP-7331
COMP-0020,SUP-1942
COMP-0021,SUP-8134
COMP-0022,SUP-9071
COMP-0023,SUP-8953
COMP-0024,SUP-3249
COMP-0025,SUP-9946
COMP-0026,SUP-3249
COMP-0027,SUP-5367
COMP-0028,SUP-3098
COMP-0029,SUP-9131
COMP-0030,SUP-7432
COMP-0031,SUP-7331
COMP-0032,SUP-1798
COMP-0033,SUP-8781
COMP-0034,SUP-3098
COMP-0035,SUP-3188
COMP-0036,SUP-3249
COMP-0037,SUP-1347
COMP-0038,SUP-9527
COMP-0039,SUP-9131
COMP-0040,SUP-9946
COMP-0041,SUP-2661
COMP-0042,SUP-4441
COMP-0043,SUP-9123
COMP-0044,SUP-9625
COMP-0045,SUP-7331
COMP-0046,SUP-7569
COMP-0047,SUP-1186
COMP-0048,SUP-9071
COMP-0050,SUP-8754
COMP-0049,SUP-8134
